expo,table,project,sponsors,link,
231,1,Zydeco,TBA,http://dubhacks15f.devpost.com/submissions/42794-zydeco,
231,2,CheSMS,TBA,http://dubhacks15f.devpost.com/submissions/42804-chesms,
231,3,BillSplit,,http://dubhacks15f.devpost.com/submissions/42805-billsplit,
231,4,Food Lover,"TBA,Best Use of Clarifai API",http://dubhacks15f.devpost.com/submissions/42806-food-lover,
231,5,Local-Do.co,"Built on .CO Domain,Best Use of Clarifai API,Best Use of Firebase (Google)",http://dubhacks15f.devpost.com/submissions/42807-local-do-co,
231,6,UBC Map Guide,Best First Time Hackers Project,http://dubhacks15f.devpost.com/submissions/42809-ubc-map-guide,
231,7,BSO'Meter,Best Use of Algorithmia API,http://dubhacks15f.devpost.com/submissions/42811-bso-meter,
231,8,regulaTOR,,http://dubhacks15f.devpost.com/submissions/42813-regulator,
231,9,Lyte,"Best Use of AWS (MLH),Best Use of Personalization (Disney)",http://dubhacks15f.devpost.com/submissions/42814-lyte,
231,10,ColorMe,,http://dubhacks15f.devpost.com/submissions/42815-colorme,
231,11,CLUSTR,Best First Time Hackers Project,http://dubhacks15f.devpost.com/submissions/42816-clustr,
231,12,Smart Mat,"TBA,Best Overall Use of Microsoft Tech,Best First Time Hackers Project",http://dubhacks15f.devpost.com/submissions/42817-smart-mat,
231,13,LAMA DANS PARTEE,"Built on .CO Domain,Best Domain Registered at DubHacks (NameCheap),Best First Time Hackers Project",http://dubhacks15f.devpost.com/submissions/42818-lama-dans-partee,
231,14,Compatigram,"TBA,Built on .CO Domain,Best Use of Data (Isilon),Best Use of Clarifai API",http://dubhacks15f.devpost.com/submissions/42819-compatigram,
231,15,Chatter,Best Use of Firebase (Google),http://dubhacks15f.devpost.com/submissions/42820-chatter,
231,16,Director to Video,,http://dubhacks15f.devpost.com/submissions/42821-director-to-video,
231,17,FindR,Best Overall Use of Microsoft Tech,http://dubhacks15f.devpost.com/submissions/42822-findr,
231,18,Notesi,Best First Time Hackers Project,http://dubhacks15f.devpost.com/submissions/42823-notesi,
231,19,Ã‰lÃ©gance,"Best Use of Clarifai API,Best Use of AWS (MLH),Best Monetization Strategy Sponsored (TUNE),Best Use of Personalization (Disney)",http://dubhacks15f.devpost.com/submissions/42824-elegance,
231,20,Zero,Best Overall Use of Microsoft Tech,http://dubhacks15f.devpost.com/submissions/42825-zero,
231,21,intuiti0n â€“ find seminal papers in any field,"Best Use of Algorithmia API,Best Domain Name Registered with Domain.com (MLH)",http://dubhacks15f.devpost.com/submissions/42826-intuiti0n-find-seminal-papers-in-any-field,
231,22,PocketHipster,Best Use of Clarifai API,http://dubhacks15f.devpost.com/submissions/42827-pockethipster,
